[28-Jul-2025 13:16:35 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:16:37 UTC] Automatic updates starting...
[28-Jul-2025 13:16:38 UTC] Automatic updates complete.
[28-Jul-2025 13:16:41 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:16:44 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:16:50 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:16:55 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:18:07 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-includes\functions.php on line 7360
[28-Jul-2025 13:18:07 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-includes\functions.php on line 2195
[28-Jul-2025 13:18:07 UTC] PHP Deprecated:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-dev\libs\show-current-template\show-current-template.php on line 20
[28-Jul-2025 13:18:07 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-dev\libs\show-current-template\show-current-template.php on line 21
[28-Jul-2025 13:18:24 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:18:27 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:18:29 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:18:35 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-includes\functions.php on line 7360
[28-Jul-2025 13:18:35 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-includes\functions.php on line 2195
[28-Jul-2025 13:18:35 UTC] PHP Deprecated:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-dev\libs\show-current-template\show-current-template.php on line 20
[28-Jul-2025 13:18:35 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-dev\libs\show-current-template\show-current-template.php on line 21
[28-Jul-2025 13:25:16 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-includes\functions.php on line 7360
[28-Jul-2025 13:25:16 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in F:\os\OSPanel\domains\land.kiavi\wp-includes\functions.php on line 2195
[28-Jul-2025 13:25:18 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:25:22 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:25:24 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:31:04 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
[28-Jul-2025 13:31:16 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in F:\os\OSPanel\domains\land.kiavi\wp-content\plugins\wpp-loan-application\includes\functions\wpp-helper.php on line 189
